,TP,FP,FN,precision,recall,F1
mei_xu,296.0,3449.0,48.0,0.07903871829105474,0.8604651162790697,0.14477867449254098
mian_chen,2998.0,694.0,7751.0,0.8120260021668473,0.2789096660154433,0.4152067031369019
yong_qing_huang,1994.0,1646.0,4082.0,0.5478021978021979,0.32817643186306783,0.4104569781803212
yin_shi,2271.0,1268.0,2351.0,0.6417066968070076,0.4913457377758546,0.5565494424702855
lili_ma,2237.0,1253.0,1720.0,0.640974212034384,0.5653272681324235,0.600778837115617
kwok_fai_so,3071.0,419.0,7971.0,0.8799426934097421,0.2781199058141641,0.422653454445362
wen_chang_chen,3077.0,365.0,7240.0,0.8939570017431726,0.2982456140350877,0.4472708772439857
mei_ling_chen,1204.0,2191.0,723.0,0.354639175257732,0.6248053969901401,0.45246148064637354
yue_tian,882.0,2467.0,759.0,0.26336219767094654,0.5374771480804388,0.35350701402805607
s_lin,114.0,3190.0,3.0,0.03450363196125908,0.9743589743589743,0.0666471791873721
yongqing_li,1610.0,1565.0,1287.0,0.5070866141732283,0.5557473248187781,0.5303030303030303
junling_wang,767.0,2142.5,597.0,0.263619178553016,0.5623167155425219,0.35895635895635897
chun_hung_lin,1420.0,1489.0,1321.0,0.48814025438294945,0.5180591025173295,0.5026548672566372
guotong_du,2720.0,122.0,6871.0,0.9570724841660803,0.2835992075904494,0.43754524249979887
jianqiang_yi,2405.0,260.0,2209.0,0.9024390243902439,0.5212397052449068,0.6608050556395109
chih_ming_lin,802.0,1765.0,751.0,0.31242695753798205,0.5164198325820991,0.38932038834951455
weiming_zhu,1197.0,1253.0,1273.0,0.48857142857142855,0.4846153846153846,0.4865853658536586
hongbin_liang,2230.0,84.0,0.0,0.9636992221261884,1.0,0.9815140845070423
li_zhu_wu,2226.0,68.0,2531.0,0.970357454228422,0.46794198023964684,0.6313998014466033
xiaobing_luo,2112.0,181.0,1424.0,0.9210641081552551,0.5972850678733032,0.7246525990735975
