,TP,FP,FN,precision,recall,F1
mei_xu,296.0,3514.0,48.0,0.07769028871391076,0.8604651162790697,0.14251324025036108
mian_chen,3063.0,694.0,7686.0,0.8152781474580783,0.2849567401618755,0.4223080104784227
yong_qing_huang,2036.0,1669.0,4040.0,0.549527665317139,0.33508887425938116,0.4163173499642163
yin_shi,2272.0,1332.0,2350.0,0.6304106548279689,0.49156209433145825,0.5523948456114758
lili_ma,2237.0,1318.0,1720.0,0.6292545710267229,0.5653272681324235,0.5955804046858358
kwok_fai_so,3136.0,419.0,7906.0,0.8821378340365682,0.28400652055786996,0.42967733095841615
wen_chang_chen,3142.0,365.0,7175.0,0.8959224408326205,0.3045458951245517,0.45457175925925924
mei_ling_chen,1205.0,2255.0,722.0,0.34826589595375723,0.6253243383497665,0.44737330610729537
yue_tian,917.0,2497.0,724.0,0.2685998828353837,0.558805606337599,0.362809099901088
s_lin,114.0,3255.0,3.0,0.03383793410507569,0.9743589743589743,0.06540447504302925
yongqing_li,1612.0,1628.0,1285.0,0.49753086419753084,0.556437694166379,0.525338113084569
junling_wang,768.0,2206.5,596.0,0.25819465456379226,0.5630498533724341,0.3540394145441974
chun_hung_lin,1421.0,1553.0,1320.0,0.47780766644250167,0.5184239328712149,0.4972878390201225
guotong_du,2785.0,122.0,6806.0,0.9580323357413141,0.2903763945365447,0.4456713074091855
jianqiang_yi,2406.0,324.0,2208.0,0.8813186813186813,0.5214564369310793,0.6552287581699346
chih_ming_lin,802.0,1830.0,751.0,0.3047112462006079,0.5164198325820991,0.38327359617682194
weiming_zhu,1232.0,1283.0,1238.0,0.48986083499005967,0.4987854251012146,0.494282848545637
hongbin_liang,2230.0,149.0,0.0,0.937368642286675,1.0,0.9676719461922325
li_zhu_wu,2226.0,133.0,2531.0,0.9436201780415431,0.46794198023964684,0.6256323777403036
xiaobing_luo,2112.0,246.0,1424.0,0.8956743002544529,0.5972850678733032,0.7166610111978282
